observationID,deploymentID,mediaID,observationLevel,observationType,scientificName,classificationProbability,classificationMethod,classifiedBy,classificationTimestamp
730d64a5-1aac-4f1d-bdc4-7167e0ec9f0e,r0039-dona_0033,b8f85bd2-80ff-440c-a9d2-fcf376ee724d,media,animal,Sus scrofa,0.99,machine,DeepFaune,
68c63930-390b-425b-81c1-9815f0d6629b,r0039-dona_0033,cfd790f0-5d5f-41f0-9baa-d890add4bbbb,media,animal,Sus scrofa,0.99,machine,DeepFaune,
58491dcf-f1e4-41a3-9347-60045e3a7d29,r0039-dona_0033,218cf0e6-6586-4e6a-8ef8-a27ba496945b,media,animal,Sus scrofa,0.99,machine,DeepFaune,
7944278b-1d17-4f89-a9fc-93aa45b0cfb3,r0039-dona_0033,69c39ebb-3af5-42b9-ba13-a4f84a108e2f,media,animal,Sus scrofa,0.99,machine,DeepFaune,
9a68d54e-9e7c-4aa0-97e6-cf3190f051af,r0039-dona_0033,792bf0c9-2ce7-4a67-b469-2416e93d7bfd,media,animal,Sus scrofa,0.99,machine,DeepFaune,
0c1f5928-5eab-464d-a2aa-4b33a0d55398,r0039-dona_0033,12925fa3-ea2d-4adb-a8c6-90ad075d1add,media,animal,Sus scrofa,0.99,machine,DeepFaune,
d1cd0ec8-7c95-4a51-b1a4-fb38e9b5fb63,r0039-dona_0033,f243731d-e399-45f4-8e20-8a95e17ff607,media,animal,Sus scrofa,0.99,machine,DeepFaune,
c456f92d-931b-4d20-bf66-952347f4381b,r0039-dona_0033,b8071cd9-3a88-4136-bbc1-4d057f2a4b87,media,animal,Sus scrofa,0.99,machine,DeepFaune,
e78e5925-dab6-491e-b5cd-c4976bf1ec3d,r0039-dona_0033,3ca878f3-c40e-4e21-b4e8-26b01dc22a91,media,animal,Sus scrofa,0.99,machine,DeepFaune,
3af4ab23-503e-42f0-b80f-32755c801bdf,r0039-dona_0033,9966f219-798d-4c28-95ae-7157a9d8e86d,media,animal,Sus scrofa,0.99,machine,DeepFaune,
fa54d926-f061-49a6-9cc3-ee3ff55b32cf,r0039-dona_0033,4bca9385-ba23-442b-bad8-974e6a1e52c1,media,animal,Sus scrofa,0.99,machine,DeepFaune,
350e5b91-3d57-4af1-b57f-b1cbb905d843,r0039-dona_0033,03cc1e77-f678-4543-8dc7-3a37e9118247,media,animal,Sus scrofa,0.99,machine,DeepFaune,
e308c602-88b0-4ea4-a396-31da95ccd6e5,r0039-dona_0033,71bf2a04-c7be-4fb1-9cbb-3fcadad45f46,media,animal,Sus scrofa,0.99,machine,DeepFaune,
8d45cb0a-4b6c-4421-afca-693e8d9eb8b9,r0039-dona_0033,4ffd6f8d-71d3-4a04-8c42-a7c4e0ecb43d,media,animal,Sus scrofa,0.99,machine,DeepFaune,
0d56642e-880b-44bd-943e-8330a1dcc816,r0039-dona_0033,b631bdc7-9bc4-4433-892e-e13c7aa1e04f,media,animal,Sus scrofa,0.98,machine,DeepFaune,
